Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2020,1,2,15,01/02/2020 14:00:00,5450.63157204861,1870.34601947041,7603.71973958532,6526.30394325836,4995.27992666626,8046.98263128049,10763.0508499552,3286.21985064978,9021.8342724508,1582.5,2125.41918758546,61773.2879929507,-501,8977,8476,0,615,4700,0,592,1094,1083,876,151,1875,233,2885,569,1322,707,300,441,10,0,0,44.06,21140.2034196408,374.025706063026
2020,1,2,16,01/02/2020 15:00:00,5443.61515737886,1835.5551080011,8961.65685672853,6491.07830704677,1534.21181611059,8065.57675195855,10582.4713437863,3304.67496120858,9069.0842724508,1213.25,2115.32436415565,61422.4989388257,-2806,11092,8286,0,615,4486,0,795,2408,1073,674,57,1809,68,4778,848,493,527,301,432,14,0,0,44.84,20958.719180606,386.320311902938
2020,1,2,17,01/02/2020 16:00:00,5456.5253603712,1870.6805474653,10441.1894154604,6542.4070912408,57.6935828193432,8061.55640154167,10577.3485209163,3170.04341696819,9141.69902263608,1457.75,2113.18303797357,63099.0763973929,-4209,11437,7228,0,615,4249,0,650,2890,628,1409,77,1605,0,3222,1022,1682,172,0,430,14,0,0,44.4,20866.8171081045,385.030392734921
2020,1,2,18,01/02/2020 17:00:00,5475.32935168613,1846.9290598276,12535.9803463028,6631.47762851868,0,8040.70083375412,10621.6609387421,3033.59661595152,9127.56377282135,3173.5,2130.31364743022,65164.0521950346,-2547,8085,5538,0,615,3375,1,822,1758,609,1276,59,1536,118,2254,2,579,91,50,462,16,0,0,46.05,20828.0760957849,371.263406213828
2020,1,2,19,01/02/2020 18:00:00,5473.08409899181,1882.7235552816,14427.8695023585,6762.06409418878,0,7972.35487666721,10866.0195896431,3371.53691913471,9218.06377282135,3389.75,2137.65533719735,64472.1217462843,1029,5450,6479,0,615,2962,1,593,276,753,1008,52,1622,819,1304,589,223,239,379,472,22,0,0,46.72,21416.7357799209,364.206336925599
2020,1,2,20,01/02/2020 19:00:00,5495.53662593501,1904.46787494992,15643.5812127732,6839.30888216704,0,7936.67426671743,11156.7397875179,3514.94220446043,9163.06377282135,1317.5,2132.149069872,63484.9636972142,1619,6012,7631,0,615,3784,0,660,173,800,699,51,1829,1542,2065,38,376,300,227,456,28,0,0,45.26,21820.4773824288,360.492749687559
2020,1,2,21,01/02/2020 20:00:00,5474.20672533897,1890.08317116934,16318.545131053,6908.25048446687,0,7933.65900390477,11304.0209450315,3039.64747187243,8662.92852300663,1091,2135.51401101527,59783.8554668588,4974,4993,9967,0,615,4724,362,822,76,748,0,0,1885,2459,1712,469,37,327,277,418,29,0,0,39.32,21411.5430854103,353.326658315114
2020,1,2,22,01/02/2020 21:00:00,5459.61258282588,1912.49654682746,16943.5117220527,6944.73417911458,0,7923.35685596152,10948.2408967072,2612.15450105968,7861.65802337718,316.25,2127.25461002725,58169.2699179535,4880,5671,10551,0,615,4732,615,784,0,878,186,1,1885,3021,1769,213,148,527,416,395,37,0,0,34.06,20360.3361440879,340.765340569265
2020,1,2,23,01/02/2020 22:00:00,5435.75677294874,1874.02582741428,17077.7278481976,6759.54797731652,0,7927.3772063784,10649.3241822403,2502.33146609504,7327.40802337718,223.25,2137.96124093765,57529.7105449057,4385,7176,11561,0,615,5032,316,808,25,887,1022,1,1885,3444,2192,371,175,577,899,441,47,0,0,32.22,19763.140767242,336.450593199151
2020,1,2,24,01/02/2020 23:00:00,5430.42429779973,1855.29225970003,17290.5805473458,6794.77361352811,0,7922.10049645625,8482.11396706967,2480.2458419837,6813.11702411828,257.25,2131.53726239141,54644.435310393,4813,5488,10301,0,615,5605,654,740,0,1100,265,0,1885,1793,1012,41,18,600,992,422,47,0,0,24.99,17179.0940317899,304.61092359876
2020,1,3,1,01/03/2020 00:00:00,5414.4268723527,1905.13693093972,18431.781677785,6768.60599805664,0,7918.58268984148,8046.67402311623,2499.00349533854,6958.59652448883,71.25,2140.40847086003,53878.4666827792,6276,4666,10942,0,615,4912,56,800,0,2436,688,0,1885,2191,238,98,588,114,549,391,47,0,0,21.47,16789.6512332299,292.91512239078
2020,1,3,2,01/03/2020 01:00:00,5397.30682055851,1856.29584368472,19739.9641731205,6790.99943821972,0,7926.87466257629,7402.47904720862,2403.7025145841,6800.94077504466,55.25,2139.79666337943,54009.6099383766,6504,4712,11216,0,615,4933,146,797,15,2560,317,0,1885,2216,549,340,588,0,549,370,48,0,0,13.04,15949.6029271883,276.48242255218
2020,1,3,3,01/03/2020 02:00:00,5385.51924391333,1897.77731505198,20505.6999380154,6731.61908003447,0,7917.82887413832,6790.04557309527,2281.47522498159,6789.6702754152,96.5,2126.94870628695,52827.0842309325,7696,3539,11235,0,615,4864,15,800,0,2586,21,71,1950,2219,156,337,567,0,164,358,51,0,0,1.53,15155.9504749239,262.593148093157
2020,1,3,4,01/03/2020 03:00:00,5400.95535618678,1787.048548741,21440.8441225288,6673.24516859813,0,7869.83594103685,6550.29746277737,2339.86598461843,6825.14977578576,4.75,2119.30111277952,53184.2934730527,7827,3310,11137,0,615,4855,29,800,0,2564,30,4,1307,2229,1148,334,128,0,0,351,53,0,0,0.14,14942.372037159,256.397688820343
2020,1,3,5,01/03/2020 04:00:00,5352.6824232589,1831.54077206233,22532.5333366326,6660.91619592407,0,7776.1115219434,6379.96360234853,2319.29307448732,6977.53502560048,1.5,2104.31182950495,54210.3877817625,7726,3297,11023,0,615,4798,2,791,5,2499,0,4,1093,2210,1354,362,174,0,0,359,54,0,0,0.85,14766.8565332958,249.634912269563
2020,1,3,6,01/03/2020 05:00:00,5347.34994810988,1894.43203510301,23497.7729997029,6650.85172843505,0,7764.55301449488,6299.79142443239,2473.89244326673,7096.70302708268,3.25,2168.85751870767,55316.4541393352,7881,3444,11325,0,495,4704,35,797,0,2350,0,60,1837,2388,738,516,157,123,126,387,56,0,0,9.92,14948.7961367945,247.675472275661
2020,1,3,7,01/03/2020 06:00:00,5352.12111008531,1799.42608455219,25066.1357612721,6676.51612053206,0,7792.94673931407,6482.16391860584,2666.30966155188,7530.79727763851,3,2161.51582894054,56478.9325024925,9052,2966,12018,0,100,4675,25,762,0,2450,0,303,1733,2871,791,272,265,294,0,391,52,0,0,24.48,15454.6159531379,246.758716457578
2020,1,3,8,01/03/2020 07:00:00,5389.72909271518,1838.23133196027,25854.4431350846,6624.18088958913,0,7732.89275496197,7828.9540511395,2864.17265016585,7817.83002930598,66.5,2153.25642795251,58937.190362875,9233,2877,12110,0,223,4660,3,777,1,2500,0,170,1493,2817,861,311,237,442,1,433,58,0,0,26.68,17177.3116329706,263.94098782336
