Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,DE>BE,BE>DE,Day-Ahead Spot price Euro/MWh,Emissions of power production t CO2,Emission factor g/kWh
2021,1,3,8,01/03/2021 07:00:00,5369.30621342476,1612.08473273176,13143.0757650859,5008.15939807473,0.326319503504875,7649.27021569422,7690.7198459325,3859.43678347601,8982.64492171304,110.5,2111.59743127165,47826.3716269081,7710.75,7470.25,15181,0,615,3181,13,1200,500,327,2136,265,3099,6591,400,2237,1,0,70,339,16,41,611,1000,9.25,32.63,18298.2795535414,344.812363031765
2021,1,3,9,01/03/2021 08:00:00,5381.47276337228,1597.51143123053,13554.6959186987,5165.01393353727,110.295992184648,7569.57465417824,8747.32261534072,4233.15474415097,9071.54805749856,597.75,2144.2460500362,48536.0861602281,9636.5,6945.5,16582,0,615,2650,66,1200,500,702,1502,7,2885,7832,400,2734,9,103,378,354,18,0,560,1000,12.5,36.9,19868.2094738704,360.058147855577
2021,1,3,10,01/03/2021 09:00:00,5390.07837187174,1589.18383037268,13954.267453717,5616.76516452097,399.415072289968,7569.57465417824,9605.47972189295,4275.94475600521,9239.70119328408,563.5,2126.64140266316,52833.551620796,7497,6593,14090,0,615,2188,224,800,0,1134,1552,0,2695,6496,400,1964,0,130,563,378,14,0,530,1000,0,36.96,20892.7266860689,365.508075437155
2021,1,3,11,01/03/2021 10:00:00,5407.58633399134,1574.61052887144,14057.2954372079,6179.10265632509,1155.17104240726,7587.11770231069,10435.7581274054,4078.11041548433,9284.43089696236,294,2150.64773999003,54978.8308809558,7225,5121,12346,0,615,1903,51,800,0,1005,821,0,2485,5517,400,1537,2,330,255,402,10,0,480,852,2,36.96,21713.6246388013,366.798246545304
2021,1,3,12,01/03/2021 11:00:00,5401.65143157792,1580.50924614575,14690.4626388523,6085.80344317314,1819.55755154319,7583.6090926842,11357.275918139,3890.55679209727,9348.50746485512,632,2158.96993693001,58257.9035159979,6291,5536,11827,0,615,1399,1,800,0,1115,1006,0,2355,5319,400,1494,0,430,680,420,9,0,470,850,0,43.72,22625.3476813891,370.645764130354
2021,1,3,13,01/03/2021 12:00:00,5416.48868761148,1558.6492938939,15067.4122777342,5866.41047055697,1999.35959797437,7581.85478787095,11408.2179082208,3854.71321073885,9570.27776117684,1572.25,2149.36740199926,59077.0013977776,6968,5473,12441,0,615,1395,0,801,1,1079,1330,0,2295,5740,400,1605,0,434,443,433,9,0,380,954,0,47.71,22720.765396048,369.092304324337
2021,1,3,14,01/03/2021 13:00:00,5426.28127659363,1573.56957876421,15854.0149488257,5020.36201995836,1710.56683737256,7586.1152424174,11642.9058824285,3410.14165900656,9377.04805749856,394.5,2142.96571204543,57912.4712149109,6226,6123,12349,0,615,1764,35,805,85,770,1241,0,2365,5757,400,1542,0,376,1053,413,9,0,320,922,0,40.41,22535.8053756723,370.124118301906
2021,1,3,15,01/03/2021 14:00:00,5436.37061069645,1581.89717962206,16472.4287399463,4835.03470010067,1071.95956901352,7600.65091087,11289.3532646966,3391.52522527777,9216.49178592753,1010,2156.72934544617,56943.4413315971,7119,5698,12817,0,615,2025,11,800,258,635,838,0,2365,6096,400,1486,0,426,874,405,7,0,330,944,0,39.66,22089.2862368506,366.667144401388
2021,1,3,16,01/03/2021 15:00:00,5450.02088624733,1579.8152794076,16753.2353202484,4256.17282449579,412.141532926658,7599.14722103008,11629.9803028555,3082.82585404365,9266.33865014201,370.75,2163.77120439539,57456.1990757924,5108,7434,12542,0,615,2299,467,800,307,552,1237,0,2405,5709,1349,1498,16,415,750,405,8,0,280,864,0,39.57,22247.8911130032,374.801421054869
2021,1,3,17,01/03/2021 16:00:00,5466.93535812558,1602.3691983976,17230.7540408673,4262.01991414837,23.495004252351,7599.14722103008,11617.561608756,3358.18235889784,9440.83865014201,1366.25,2159.6101059254,58485.4134605425,5641.75,5343.25,10985,0,615,3646,677,800,290,430,380,0,2465,3707,400,696,53,287,238,419,9,0,210,1000,6.25,36.11,22517.5557318216,376.070834706064
