Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2019,1,2,11,01/02/2019 10:00:00,5221.49501048692,2024.27064607654,28730.7042911575,4099.0435301693,4454.36809541738,9038.0210477427,9335.00281407225,4986.43404880566,9229.5180588569,361,2243.32682063813,69111.1843634233,10612,1517,12129,67,0,3083,183,800,0,905,1035,2134,157,2794,0,1333,0,500,100,513,42,47.57,20903.3510091836,273.713777200256
2019,1,2,12,01/02/2019 11:00:00,5235.70425445672,2092.10716683633,28923.2205839744,3736.94686449303,6801.95135308176,9036.01549552973,9134.93711193044,5376.98031087831,9280.29523167352,395,2254.51858415573,71250.67695701,11017,1385,12402,67,0,3244,33,800,0,999,1153,2100,14,2807,0,1362,0,500,140,523,45,43.94,21039.7534123104,267.04525062407
2019,1,2,13,01/02/2019 12:00:00,5243.47912379869,2117.0046132854,29222.0404572372,3368.64140825304,7440.59064067279,9123.7584048471,9376.63952433475,5119.86392212639,9266.26533653166,292.25,2259.24399541871,71665.7774265057,11164,1041,12205,67,0,3350,31,800,0,1023,858,2100,1,2471,0,1380,0,506,105,508,46,40.97,21095.2497973321,265.569203425912
2019,1,2,14,01/02/2019 13:00:00,5245.35581639847,2118.80877607156,28788.433747524,3148.10516742963,6733.49695277251,9033.00716721028,9443.15351431383,4779.65834248306,9345.15392293996,518,2251.28540802842,70188.4588151717,11216,941,12157,67,0,2967,20,800,0,903,772,2100,6,2885,0,1445,0,489,100,501,43,44.95,20907.8153169138,268.575728139878
2019,1,2,15,01/02/2019 14:00:00,5259.29696142545,2096.43715752312,26947.4490134399,2948.67881452288,4578.12291323136,9037.26896566283,10142.8597396056,5488.2169801173,9239.76533653165,630.25,2265.21293596143,68524.5588180215,10109,1409,11518,67,0,2934,102,801,1,625,847,1737,12,3046,0,1459,0,350,413,499,34,49.64,22229.9363474827,296.257318457025
2019,1,2,16,01/02/2019 15:00:00,5264.12274239632,2144.4278876351,24468.1341671094,3096.44802993947,1610.69177198242,9086.15430085394,11046.8215246757,7019.81871058795,9409.07240449013,602.75,2264.96423010548,69084.4057697758,6929,3605,10534,0,106,2560,23,800,0,1410,1770,983,411,3492,918,693,0,100,351,496,26,53.67,24527.8961767203,338.69416866697
2019,1,2,17,01/02/2019 16:00:00,5261.44175296806,2093.91132962249,23065.333808882,2865.48102096901,89.1249447163606,9234.06377656037,12270.2599545271,8602.03177231819,9776.68654040707,1490.5,2261.23364226629,69278.0685432369,7732,3357,11089,0,0,2697,10,800,4,671,1055,2193,1478,3334,275,875,0,16,514,503,21,56.01,27284.4781371032,376.23624945356
2019,1,2,18,01/02/2019 17:00:00,5264.9270392248,2094.63299473696,22006.1127262102,2842.38432007196,0,9273.17204471326,13068.1659681739,8796.08698361832,9974.77078118215,2306,2253.52376073194,72569.7766186635,5310,3767,9077,0,436,2573,15,851,51,529,1315,1202,1498,1825,0,1474,0,86,431,537,21,56.95,28375.1667588265,391.753376554657
2019,1,2,19,01/02/2019 18:00:00,5269.21662231002,2149.47954343636,20298.388939862,2680.45906217009,0,9223.78532146891,13365.6458603638,9070.25424867695,10486.0533986493,2671.5,2268.94352380063,72553.726520738,4930,5144,10074,0,615,2384,14,850,50,319,1638,1486,1765,3802,362,604,0,86,681,543,19,62.08,29137.8930548275,406.554391556719
2019,1,2,20,01/02/2019 19:00:00,5263.8546434535,2177.26365034329,18240.4736935284,2942.22167233661,0,9153.08960596177,13682.2419780201,8938.71891716807,10778.1403617496,2641.75,2265.21293596143,71052.9674585228,5030,5512,10542,0,615,2112,5,800,0,320,1648,1641,1818,4962,800,92,0,85,604,530,22,62.11,29479.5499668275,418.955917946741
2019,1,2,21,01/02/2019 20:00:00,5250.18159736935,2082.0038552338,16811.9875419397,2697.84367574851,0,9238.07488098631,13977.3650752895,9154.96733254995,10603.6675345662,1456.75,2253.52376073194,67244.3652544152,6282,4660,10942,0,615,1926,9,800,0,952,1201,1402,1959,5058,170,301,0,0,691,503,15,57.99,29894.7058964873,432.26896418129
2019,1,2,22,01/02/2019 21:00:00,5244.28342062717,1995.40404149791,15262.7018671171,2829.47003569942,0,9278.18592524568,14057.4961025872,8186.58581786114,10528.5017753413,219.75,2258.99528956277,64556.3742755396,5305,4929,10234,0,615,2008,20,800,0,692,1241,962,1878,3900,352,1407,0,0,805,465,18,55.64,29171.9955934485,436.405605079437
